real_household_income,housing_subsidy,total_household,CPI,per_capita_gdp,interest_rate,work_age_pop,housing_price_ind,UNRATE,new_house_supp
50050.0,34.23,119927,2.24921919600376,54610.0,4.84,199937200.0,139.158,9.1,6.7
50050.0,34.23,119927,2.3058155396239,54567.333333333336,4.6375,200041600.0,140.69299999999998,9.0,6.6
50050.0,34.23,119927,1.92672807632472,54524.666666666664,4.51,199992600.0,141.945,9.1,6.6
50050.0,34.23,119927,2.5370313756665,54482.0,4.545,200109400.0,142.343,9.0,6.7
50050.0,34.23,119927,3.1779707716990093,54647.666666666664,4.27,200136500.0,141.786,9.0,6.5
50050.0,34.23,119927,2.49197707942446,54813.333333333336,4.106,200256000.0,140.168,9.0,6.3
50050.0,34.23,119927,2.02226514469577,54979.0,4.0675,200422000.0,138.41,8.8,6.0
50050.0,34.23,119927,1.84701379887522,55100.0,3.9925,200325600.0,136.665,8.6,5.7
50050.0,34.23,119927,2.37433305779156,55221.0,3.9579999999999997,200311100.0,135.167,8.5,5.3
51020.0,33.283,121084,3.19808928450254,55342.0,3.915,200970700.0,134.167,8.3,5.3
51020.0,33.283,121084,1.6845519133678302,55391.333333333336,3.89,201100100.0,133.996,8.3,4.8
51020.0,33.283,121084,2.42029632056173,55440.666666666664,3.9539999999999997,201252700.0,135.864,8.2,4.9
51020.0,33.283,121084,2.2851338427891696,55490.0,3.91,201499400.0,138.47,8.2,4.9
51020.0,33.283,121084,1.7320720722101297,55478.0,3.7979999999999996,201524900.0,141.047,8.2,4.7
51020.0,33.283,121084,1.92206327761144,55466.0,3.675,201458900.0,143.16899999999998,8.2,4.8
51020.0,33.283,121084,2.08371119432122,55454.0,3.55,201491500.0,144.282,8.2,4.6
51020.0,33.283,121084,2.4238660191344503,55437.0,3.6019999999999994,201587800.0,144.705,8.1,4.6
51020.0,33.283,121084,2.2866037427289303,55420.0,3.4975,201605400.0,144.357,7.8,4.5
51020.0,33.283,121084,1.87504766315374,55403.0,3.3825000000000003,201662300.0,143.966,7.8,4.9
51020.0,33.283,121084,2.0721553787935503,55555.0,3.3519999999999994,201708600.0,143.958,7.7,4.6
51020.0,33.283,121084,1.79065016566902,55707.0,3.3449999999999998,201843200.0,143.865,7.9,4.5
53590.0,33.213,122459,2.74180750368704,55859.0,3.414,201721300.0,144.31,8.0,4.0
53590.0,33.213,122459,2.45154222786008,55877.333333333336,3.5324999999999998,201883900.0,145.161,7.7,4.1
53590.0,33.213,122459,1.21535791179703,55895.666666666664,3.565,202024100.0,147.961,7.5,4.2
53590.0,33.213,122459,2.088884185994,55914.0,3.4450000000000003,202167700.0,150.97,7.6,4.4
53590.0,33.213,122459,1.9563823322529,56033.333333333336,3.536,202291000.0,153.86,7.5,4.6
53590.0,33.213,122459,2.13725043962469,56152.666666666664,4.07,202288100.0,156.428,7.5,4.1
53590.0,33.213,122459,2.00320004740069,56272.0,4.37,202321200.0,158.287,7.3,5.5
53590.0,33.213,122459,2.1480298989162,56395.333333333336,4.456,202486100.0,159.394,7.2,5.5
53590.0,33.213,122459,2.23216017314456,56518.666666666664,4.49,202630100.0,159.673,7.2,5.4
53590.0,33.213,122459,1.16372929089217,56642.0,4.192,202702100.0,159.556,7.2,4.9
53590.0,33.213,122459,2.60550640737742,56543.0,4.255,202720100.0,159.364,6.9,5.0
53590.0,33.213,122459,2.8446440822717203,56444.0,4.4575,202732300.0,159.281,6.7,5.2
53660.0,33.806,123229,2.40632650352188,56345.0,4.432,202550700.0,159.369,6.6,5.1
53660.0,33.806,123229,2.3508313464702497,56552.666666666664,4.3025,202677800.0,159.872,6.7,5.3
53660.0,33.806,123229,2.8589766754357098,56760.333333333336,4.3425,202701500.0,161.189,6.7,5.6
53660.0,33.806,123229,2.21493222879676,56968.0,4.3375,202797800.0,162.968,6.2,5.7
53660.0,33.806,123229,2.54562660708071,57157.333333333336,4.192,202936300.0,164.68200000000002,6.3,5.2
53660.0,33.806,123229,1.31136444111866,57346.666666666664,4.1625,203051400.0,166.21200000000002,6.1,5.7
53660.0,33.806,123229,2.4049038383757497,57536.0,4.13,203042900.0,167.136,6.2,6.2
53660.0,33.806,123229,1.75173691535098,57591.333333333336,4.115,203164300.0,167.45,6.1,5.4
53660.0,33.806,123229,1.93541098458714,57646.666666666664,4.1625,203211900.0,167.241,5.9,5.4
53660.0,33.806,123229,2.4289565511268,57702.0,4.036,203259900.0,166.90900000000002,5.7,5.3
53660.0,33.806,123229,2.25631054100233,57841.666666666664,3.9975,203378000.0,166.657,5.8,5.7
53660.0,33.806,123229,2.3833942455642,57981.333333333336,3.864,203419500.0,166.459,5.6,5.1
56520.0,34.859,124587,1.94752959883826,58121.0,3.67,203859000.0,166.248,5.7,4.8
56520.0,34.859,124587,1.95449451571832,58206.0,3.71,203941000.0,166.63,5.5,4.5
56520.0,34.859,124587,2.43333592636743,58291.0,3.77,203969900.0,168.08700000000002,5.4,5.1
56520.0,34.859,124587,2.96265053867684,58376.0,3.6719999999999997,203983300.0,169.968,5.4,4.9
56520.0,34.859,124587,2.5012910991095,58412.666666666664,3.84,204205800.0,171.84900000000002,5.6,5.0
56520.0,34.859,124587,2.97239956431092,58449.333333333336,3.9825,204424200.0,173.449,5.3,5.4
56520.0,34.859,124587,1.9220253006031696,58486.0,4.046,204519300.0,174.495,5.2,5.2
56520.0,34.859,124587,1.63579063211565,58480.666666666664,3.9050000000000002,204559900.0,174.937,5.1,5.0
56520.0,34.859,124587,2.99841569275872,58475.333333333336,3.89,204605300.0,175.043,5.0,5.9
56520.0,34.859,124587,2.28316449144805,58470.0,3.7960000000000003,204681400.0,175.049,5.0,5.6
56520.0,34.859,124587,2.2654806001265,58548.0,3.9425,204728700.0,175.141,5.1,5.5
56520.0,34.859,124587,1.83471969623819,58626.0,3.964,204755400.0,175.113,5.0,5.1
59040.0,37.55,125819,2.70841659132004,58704.0,3.8725,205071200.0,175.032,4.8,5.6
59040.0,37.55,125819,2.53771440127248,58731.666666666664,3.66,205098500.0,175.27599999999998,4.9,5.5
59040.0,37.55,125819,2.22200455864592,58759.333333333336,3.694,205198100.0,176.597,5.0,5.5
